scenario_id,country,year,cap_pv_gw,cap_wind_on_gw,cap_wind_off_gw,cap_nuclear_gw,cap_coal_gw,cap_gas_gw,cap_hydro_ror_gw,cap_hydro_res_gw,cap_psh_gw,source_label
BASE,BE,2030,2.8971,3.6409,0.5554,6.0,,,1.0,,1.0,internal_assumption
BASE,BE,2040,3.3606,4.0111,0.648,6.0,,,1.0,,1.0,internal_assumption
BASE,CZ,2030,1.25,1.18,0.18,6.0,,,1.0,,1.0,internal_assumption
BASE,CZ,2040,1.45,1.3,0.21,6.0,,,1.0,,1.0,internal_assumption
BASE,DE,2030,21.1595,38.4164,5.8601,1.5,,,1.0,,1.0,internal_assumption
BASE,DE,2040,24.5451,42.3232,6.8368,1.5,,,1.0,,1.0,internal_assumption
BASE,ES,2030,13.6049,14.0905,2.1494,1.5,,,1.0,,1.0,internal_assumption
BASE,ES,2040,15.7817,15.5234,2.5076,1.5,,,1.0,,1.0,internal_assumption
BASE,FR,2030,5.9742,9.7575,1.4884,6.0,,,1.0,,1.0,internal_assumption
BASE,FR,2040,6.93,10.7498,1.7365,6.0,,,1.0,,1.0,internal_assumption
BASE,IT_NORD,2030,3.978,1.18,0.18,1.5,,,1.0,,1.0,internal_assumption
BASE,IT_NORD,2040,4.6145,1.3,0.21,1.5,,,1.0,,1.0,internal_assumption
BASE,NL,2030,1.25,6.4247,0.98,1.5,,,1.0,,1.0,internal_assumption
BASE,NL,2040,1.45,7.078,1.1434,1.5,,,1.0,,1.0,internal_assumption
DEMAND_UP,BE,2030,2.8971,3.6409,0.5554,6.0,,,1.0,,1.0,internal_assumption
DEMAND_UP,BE,2040,3.3606,4.0111,0.648,6.0,,,1.0,,1.0,internal_assumption
DEMAND_UP,CZ,2030,1.25,1.18,0.18,6.0,,,1.0,,1.0,internal_assumption
DEMAND_UP,CZ,2040,1.45,1.3,0.21,6.0,,,1.0,,1.0,internal_assumption
DEMAND_UP,DE,2030,21.1595,38.4164,5.8601,1.5,,,1.0,,1.0,internal_assumption
DEMAND_UP,DE,2040,24.5451,42.3232,6.8368,1.5,,,1.0,,1.0,internal_assumption
DEMAND_UP,ES,2030,13.6049,14.0905,2.1494,1.5,,,1.0,,1.0,internal_assumption
DEMAND_UP,ES,2040,15.7817,15.5234,2.5076,1.5,,,1.0,,1.0,internal_assumption
DEMAND_UP,FR,2030,5.9742,9.7575,1.4884,6.0,,,1.0,,1.0,internal_assumption
DEMAND_UP,FR,2040,6.93,10.7498,1.7365,6.0,,,1.0,,1.0,internal_assumption
DEMAND_UP,IT_NORD,2030,3.978,1.18,0.18,1.5,,,1.0,,1.0,internal_assumption
DEMAND_UP,IT_NORD,2040,4.6145,1.3,0.21,1.5,,,1.0,,1.0,internal_assumption
DEMAND_UP,NL,2030,1.25,6.4247,0.98,1.5,,,1.0,,1.0,internal_assumption
DEMAND_UP,NL,2040,1.45,7.078,1.1434,1.5,,,1.0,,1.0,internal_assumption
FLEX_UP,BE,2030,2.8971,3.6409,0.5554,6.0,,,1.0,,1.3,internal_assumption
FLEX_UP,BE,2040,3.3606,4.0111,0.648,6.0,,,1.0,,1.3,internal_assumption
FLEX_UP,CZ,2030,1.25,1.18,0.18,6.0,,,1.0,,1.3,internal_assumption
FLEX_UP,CZ,2040,1.45,1.3,0.21,6.0,,,1.0,,1.3,internal_assumption
FLEX_UP,DE,2030,21.1595,38.4164,5.8601,1.5,,,1.0,,1.3,internal_assumption
FLEX_UP,DE,2040,24.5451,42.3232,6.8368,1.5,,,1.0,,1.3,internal_assumption
FLEX_UP,ES,2030,13.6049,14.0905,2.1494,1.5,,,1.0,,1.3,internal_assumption
FLEX_UP,ES,2040,15.7817,15.5234,2.5076,1.5,,,1.0,,1.3,internal_assumption
FLEX_UP,FR,2030,5.9742,9.7575,1.4884,6.0,,,1.0,,1.3,internal_assumption
FLEX_UP,FR,2040,6.93,10.7498,1.7365,6.0,,,1.0,,1.3,internal_assumption
FLEX_UP,IT_NORD,2030,3.978,1.18,0.18,1.5,,,1.0,,1.3,internal_assumption
FLEX_UP,IT_NORD,2040,4.6145,1.3,0.21,1.5,,,1.0,,1.3,internal_assumption
FLEX_UP,NL,2030,1.25,6.4247,0.98,1.5,,,1.0,,1.3,internal_assumption
FLEX_UP,NL,2040,1.45,7.078,1.1434,1.5,,,1.0,,1.3,internal_assumption
HIGH_CO2,BE,2030,2.8971,3.6409,0.5554,6.0,,,1.0,,1.0,internal_assumption
HIGH_CO2,BE,2040,3.3606,4.0111,0.648,6.0,,,1.0,,1.0,internal_assumption
HIGH_CO2,CZ,2030,1.25,1.18,0.18,6.0,,,1.0,,1.0,internal_assumption
HIGH_CO2,CZ,2040,1.45,1.3,0.21,6.0,,,1.0,,1.0,internal_assumption
HIGH_CO2,DE,2030,21.1595,38.4164,5.8601,1.5,,,1.0,,1.0,internal_assumption
HIGH_CO2,DE,2040,24.5451,42.3232,6.8368,1.5,,,1.0,,1.0,internal_assumption
HIGH_CO2,ES,2030,13.6049,14.0905,2.1494,1.5,,,1.0,,1.0,internal_assumption
HIGH_CO2,ES,2040,15.7817,15.5234,2.5076,1.5,,,1.0,,1.0,internal_assumption
HIGH_CO2,FR,2030,5.9742,9.7575,1.4884,6.0,,,1.0,,1.0,internal_assumption
HIGH_CO2,FR,2040,6.93,10.7498,1.7365,6.0,,,1.0,,1.0,internal_assumption
HIGH_CO2,IT_NORD,2030,3.978,1.18,0.18,1.5,,,1.0,,1.0,internal_assumption
HIGH_CO2,IT_NORD,2040,4.6145,1.3,0.21,1.5,,,1.0,,1.0,internal_assumption
HIGH_CO2,NL,2030,1.25,6.4247,0.98,1.5,,,1.0,,1.0,internal_assumption
HIGH_CO2,NL,2040,1.45,7.078,1.1434,1.5,,,1.0,,1.0,internal_assumption
HIGH_GAS,BE,2030,2.8971,3.6409,0.5554,6.0,,,1.0,,1.0,internal_assumption
HIGH_GAS,BE,2040,3.3606,4.0111,0.648,6.0,,,1.0,,1.0,internal_assumption
HIGH_GAS,CZ,2030,1.25,1.18,0.18,6.0,,,1.0,,1.0,internal_assumption
HIGH_GAS,CZ,2040,1.45,1.3,0.21,6.0,,,1.0,,1.0,internal_assumption
HIGH_GAS,DE,2030,21.1595,38.4164,5.8601,1.5,,,1.0,,1.0,internal_assumption
HIGH_GAS,DE,2040,24.5451,42.3232,6.8368,1.5,,,1.0,,1.0,internal_assumption
HIGH_GAS,ES,2030,13.6049,14.0905,2.1494,1.5,,,1.0,,1.0,internal_assumption
HIGH_GAS,ES,2040,15.7817,15.5234,2.5076,1.5,,,1.0,,1.0,internal_assumption
HIGH_GAS,FR,2030,5.9742,9.7575,1.4884,6.0,,,1.0,,1.0,internal_assumption
HIGH_GAS,FR,2040,6.93,10.7498,1.7365,6.0,,,1.0,,1.0,internal_assumption
HIGH_GAS,IT_NORD,2030,3.978,1.18,0.18,1.5,,,1.0,,1.0,internal_assumption
HIGH_GAS,IT_NORD,2040,4.6145,1.3,0.21,1.5,,,1.0,,1.0,internal_assumption
HIGH_GAS,NL,2030,1.25,6.4247,0.98,1.5,,,1.0,,1.0,internal_assumption
HIGH_GAS,NL,2040,1.45,7.078,1.1434,1.5,,,1.0,,1.0,internal_assumption
LOW_RIGIDITY,BE,2030,2.8971,3.6409,0.5554,6.0,,,1.0,,1.0,internal_assumption
LOW_RIGIDITY,BE,2040,3.3606,4.0111,0.648,6.0,,,1.0,,1.0,internal_assumption
LOW_RIGIDITY,CZ,2030,1.25,1.18,0.18,6.0,,,1.0,,1.0,internal_assumption
LOW_RIGIDITY,CZ,2040,1.45,1.3,0.21,6.0,,,1.0,,1.0,internal_assumption
LOW_RIGIDITY,DE,2030,21.1595,38.4164,5.8601,1.5,,,1.0,,1.0,internal_assumption
LOW_RIGIDITY,DE,2040,24.5451,42.3232,6.8368,1.5,,,1.0,,1.0,internal_assumption
LOW_RIGIDITY,ES,2030,13.6049,14.0905,2.1494,1.5,,,1.0,,1.0,internal_assumption
LOW_RIGIDITY,ES,2040,15.7817,15.5234,2.5076,1.5,,,1.0,,1.0,internal_assumption
LOW_RIGIDITY,FR,2030,5.9742,9.7575,1.4884,6.0,,,1.0,,1.0,internal_assumption
LOW_RIGIDITY,FR,2040,6.93,10.7498,1.7365,6.0,,,1.0,,1.0,internal_assumption
LOW_RIGIDITY,IT_NORD,2030,3.978,1.18,0.18,1.5,,,1.0,,1.0,internal_assumption
LOW_RIGIDITY,IT_NORD,2040,4.6145,1.3,0.21,1.5,,,1.0,,1.0,internal_assumption
LOW_RIGIDITY,NL,2030,1.25,6.4247,0.98,1.5,,,1.0,,1.0,internal_assumption
LOW_RIGIDITY,NL,2040,1.45,7.078,1.1434,1.5,,,1.0,,1.0,internal_assumption
