scenario_id,country,year,demand_total_twh,peak_load_gw,source_label
BASE,BE,2030,91.4838,10.165,internal_assumption
BASE,BE,2040,107.3941,11.933,internal_assumption
BASE,CZ,2030,68.7201,7.636,internal_assumption
BASE,CZ,2040,80.6715,8.963,internal_assumption
BASE,DE,2030,525.9034,58.434,internal_assumption
BASE,DE,2040,617.3648,68.596,internal_assumption
BASE,ES,2030,256.5926,28.51,internal_assumption
BASE,ES,2040,301.2174,33.469,internal_assumption
BASE,FR,2030,487.1122,54.124,internal_assumption
BASE,FR,2040,571.8274,63.536,internal_assumption
BASE,IT_NORD,2030,177.9663,19.774,internal_assumption
BASE,IT_NORD,2040,208.917,23.213,internal_assumption
BASE,NL,2030,132.2886,14.699,internal_assumption
BASE,NL,2040,155.2953,17.255,internal_assumption
DEMAND_UP,BE,2030,100.6322,11.181,internal_assumption
DEMAND_UP,BE,2040,118.1335,13.126,internal_assumption
DEMAND_UP,CZ,2030,75.5921,8.399,internal_assumption
DEMAND_UP,CZ,2040,88.7386,9.86,internal_assumption
DEMAND_UP,DE,2030,578.4937,64.277,internal_assumption
DEMAND_UP,DE,2040,679.1013,75.456,internal_assumption
DEMAND_UP,ES,2030,282.2518,31.361,internal_assumption
DEMAND_UP,ES,2040,331.3391,36.815,internal_assumption
DEMAND_UP,FR,2030,535.8235,59.536,internal_assumption
DEMAND_UP,FR,2040,629.0101,69.89,internal_assumption
DEMAND_UP,IT_NORD,2030,195.7629,21.751,internal_assumption
DEMAND_UP,IT_NORD,2040,229.8087,25.534,internal_assumption
DEMAND_UP,NL,2030,145.5175,16.169,internal_assumption
DEMAND_UP,NL,2040,170.8248,18.981,internal_assumption
FLEX_UP,BE,2030,91.4838,10.165,internal_assumption
FLEX_UP,BE,2040,107.3941,11.933,internal_assumption
FLEX_UP,CZ,2030,68.7201,7.636,internal_assumption
FLEX_UP,CZ,2040,80.6715,8.963,internal_assumption
FLEX_UP,DE,2030,525.9034,58.434,internal_assumption
FLEX_UP,DE,2040,617.3648,68.596,internal_assumption
FLEX_UP,ES,2030,256.5926,28.51,internal_assumption
FLEX_UP,ES,2040,301.2174,33.469,internal_assumption
FLEX_UP,FR,2030,487.1122,54.124,internal_assumption
FLEX_UP,FR,2040,571.8274,63.536,internal_assumption
FLEX_UP,IT_NORD,2030,177.9663,19.774,internal_assumption
FLEX_UP,IT_NORD,2040,208.917,23.213,internal_assumption
FLEX_UP,NL,2030,132.2886,14.699,internal_assumption
FLEX_UP,NL,2040,155.2953,17.255,internal_assumption
HIGH_CO2,BE,2030,91.4838,10.165,internal_assumption
HIGH_CO2,BE,2040,107.3941,11.933,internal_assumption
HIGH_CO2,CZ,2030,68.7201,7.636,internal_assumption
HIGH_CO2,CZ,2040,80.6715,8.963,internal_assumption
HIGH_CO2,DE,2030,525.9034,58.434,internal_assumption
HIGH_CO2,DE,2040,617.3648,68.596,internal_assumption
HIGH_CO2,ES,2030,256.5926,28.51,internal_assumption
HIGH_CO2,ES,2040,301.2174,33.469,internal_assumption
HIGH_CO2,FR,2030,487.1122,54.124,internal_assumption
HIGH_CO2,FR,2040,571.8274,63.536,internal_assumption
HIGH_CO2,IT_NORD,2030,177.9663,19.774,internal_assumption
HIGH_CO2,IT_NORD,2040,208.917,23.213,internal_assumption
HIGH_CO2,NL,2030,132.2886,14.699,internal_assumption
HIGH_CO2,NL,2040,155.2953,17.255,internal_assumption
HIGH_GAS,BE,2030,91.4838,10.165,internal_assumption
HIGH_GAS,BE,2040,107.3941,11.933,internal_assumption
HIGH_GAS,CZ,2030,68.7201,7.636,internal_assumption
HIGH_GAS,CZ,2040,80.6715,8.963,internal_assumption
HIGH_GAS,DE,2030,525.9034,58.434,internal_assumption
HIGH_GAS,DE,2040,617.3648,68.596,internal_assumption
HIGH_GAS,ES,2030,256.5926,28.51,internal_assumption
HIGH_GAS,ES,2040,301.2174,33.469,internal_assumption
HIGH_GAS,FR,2030,487.1122,54.124,internal_assumption
HIGH_GAS,FR,2040,571.8274,63.536,internal_assumption
HIGH_GAS,IT_NORD,2030,177.9663,19.774,internal_assumption
HIGH_GAS,IT_NORD,2040,208.917,23.213,internal_assumption
HIGH_GAS,NL,2030,132.2886,14.699,internal_assumption
HIGH_GAS,NL,2040,155.2953,17.255,internal_assumption
LOW_RIGIDITY,BE,2030,91.4838,10.165,internal_assumption
LOW_RIGIDITY,BE,2040,107.3941,11.933,internal_assumption
LOW_RIGIDITY,CZ,2030,68.7201,7.636,internal_assumption
LOW_RIGIDITY,CZ,2040,80.6715,8.963,internal_assumption
LOW_RIGIDITY,DE,2030,525.9034,58.434,internal_assumption
LOW_RIGIDITY,DE,2040,617.3648,68.596,internal_assumption
LOW_RIGIDITY,ES,2030,256.5926,28.51,internal_assumption
LOW_RIGIDITY,ES,2040,301.2174,33.469,internal_assumption
LOW_RIGIDITY,FR,2030,487.1122,54.124,internal_assumption
LOW_RIGIDITY,FR,2040,571.8274,63.536,internal_assumption
LOW_RIGIDITY,IT_NORD,2030,177.9663,19.774,internal_assumption
LOW_RIGIDITY,IT_NORD,2040,208.917,23.213,internal_assumption
LOW_RIGIDITY,NL,2030,132.2886,14.699,internal_assumption
LOW_RIGIDITY,NL,2040,155.2953,17.255,internal_assumption
