column_name,description
technology,from_model_parameters_header
techdetail,from_model_parameters_header
techdetail2,from_model_parameters_header
metric,from_model_parameters_header
parameter,from_model_parameters_header
parameterdetail,from_model_parameters_header
value,from_model_parameters_header
units,from_model_parameters_header
$year,from_model_parameters_header
scenario,from_model_parameters_header
year,from_model_parameters_header
atb_year,from_model_parameters_header
description,from_model_parameters_header
resourcedetail,from_model_parameters_header
resourcedetail2,from_model_parameters_header
source,from_model_parameters_header
notes,from_model_parameters_header
