technology,techdetail,techdetail2,metric,parameter,parameterdetail,value,units,$year,scenario,year,atb_year,description,resourcedetail,resourcedetail2,source,notes
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Lithium-ion Battery Cabinets,301.936382,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Battery Central Inverter,21.24210758,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Structural BOS,2.804499788,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Electrical BOS,45.3984731,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Installation Labor & Equipment,12.33169943,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,EPC Overhead,11.87609477,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Sale Tax,18.94302925,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Total EPC Cost,414.532286,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Land acquisition,0,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Permitting fee,0.779590194,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Interconnection fee,5.760867796,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Contingency,11.08638003,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Developer overhead,23.37758127,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,EPC/developer net profit,21.20080345,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Total Developer cost,62.20522274,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Total energy storage system cost,476.7375087,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Lithium-ion Battery Cabinets,302.0032337,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Battery Central Inverter,21.24209375,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Structural BOS,19.59241813,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Electrical BOS,78.68824843,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Installation Labor & Equipment,75.26355746,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,EPC Overhead,54.92021041,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Sale Tax,27.48854948,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Total EPC Cost,579.1983113,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Land acquisition,0,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Permitting fee,8.214707254,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Interconnection fee,7.293112673,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Contingency,17.14621029,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Developer overhead,39.68545554,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,EPC/developer net profit,35.91943324,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Total Developer cost,108.258919,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Total energy storage system cost,687.4572303,$/kWh,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,Battery Pack,3714.29,$,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,Inverter,2411.715385,$,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,BOS,1647.409768,$,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,Supply Chain Costs,502.5283147,$,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,Sales Tax,412.1152706,$,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,Install Labor & Equipments,1136.470938,$,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,Engineering Fee,99.87487425,$,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,PII,1716.796523,$,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,Sales & Marketing,4048.612008,$,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,Overhead & Profit,4064.381725,$,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,Total,19754.1948,$,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Lithium-ion Battery Cabinets,1207.745528,$/kW,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Battery Central Inverter,84.96843031,$/kW,2022,Base,2023,2024,,,,,
