country,scenario_id,metric,hist_value,scen_value,delta,scen_status,interpretability_status,interpretability_reason
BE,BASE,bascule_year_market,2023.0,2025.0,2.0,,INFORMATIVE,delta_interpretable
CZ,BASE,bascule_year_market,2018.0,2025.0,7.0,,INFORMATIVE,delta_interpretable
DE,BASE,bascule_year_market,2019.0,,,,NON_TESTABLE,delta_non_interpretable_nan
ES,BASE,bascule_year_market,2023.0,,,,NON_TESTABLE,delta_non_interpretable_nan
FR,BASE,bascule_year_market,2018.0,,,,NON_TESTABLE,delta_non_interpretable_nan
IT_NORD,BASE,bascule_year_market,,,,,NON_TESTABLE,delta_non_interpretable_nan
NL,BASE,bascule_year_market,2023.0,,,,NON_TESTABLE,delta_non_interpretable_nan
BE,DEMAND_UP,bascule_year_market,2023.0,2025.0,2.0,,INFORMATIVE,delta_interpretable
CZ,DEMAND_UP,bascule_year_market,2018.0,,,,NON_TESTABLE,delta_non_interpretable_nan
DE,DEMAND_UP,bascule_year_market,2019.0,,,,NON_TESTABLE,delta_non_interpretable_nan
ES,DEMAND_UP,bascule_year_market,2023.0,,,,NON_TESTABLE,delta_non_interpretable_nan
FR,DEMAND_UP,bascule_year_market,2018.0,,,,NON_TESTABLE,delta_non_interpretable_nan
IT_NORD,DEMAND_UP,bascule_year_market,,,,,NON_TESTABLE,delta_non_interpretable_nan
NL,DEMAND_UP,bascule_year_market,2023.0,,,,NON_TESTABLE,delta_non_interpretable_nan
BE,FLEX_UP,bascule_year_market,2023.0,2025.0,2.0,,INFORMATIVE,delta_interpretable
CZ,FLEX_UP,bascule_year_market,2018.0,2025.0,7.0,,INFORMATIVE,delta_interpretable
DE,FLEX_UP,bascule_year_market,2019.0,,,,NON_TESTABLE,delta_non_interpretable_nan
ES,FLEX_UP,bascule_year_market,2023.0,,,,NON_TESTABLE,delta_non_interpretable_nan
FR,FLEX_UP,bascule_year_market,2018.0,,,,NON_TESTABLE,delta_non_interpretable_nan
IT_NORD,FLEX_UP,bascule_year_market,,,,,NON_TESTABLE,delta_non_interpretable_nan
NL,FLEX_UP,bascule_year_market,2023.0,,,,NON_TESTABLE,delta_non_interpretable_nan
BE,LOW_RIGIDITY,bascule_year_market,2023.0,2025.0,2.0,,INFORMATIVE,delta_interpretable
CZ,LOW_RIGIDITY,bascule_year_market,2018.0,,,,NON_TESTABLE,delta_non_interpretable_nan
DE,LOW_RIGIDITY,bascule_year_market,2019.0,,,,NON_TESTABLE,delta_non_interpretable_nan
ES,LOW_RIGIDITY,bascule_year_market,2023.0,,,,NON_TESTABLE,delta_non_interpretable_nan
FR,LOW_RIGIDITY,bascule_year_market,2018.0,,,,NON_TESTABLE,delta_non_interpretable_nan
IT_NORD,LOW_RIGIDITY,bascule_year_market,,,,,NON_TESTABLE,delta_non_interpretable_nan
NL,LOW_RIGIDITY,bascule_year_market,2023.0,,,,NON_TESTABLE,delta_non_interpretable_nan
