country,tech,phase2_start_year_for_slope,phase2_start_reason,phase2_end_year,years_used,years_used_no_outliers,x_axis_used,x_unit,slope,intercept,r2,p_value,n,slope_method,robust_flag,reason_code,slope_all_years,slope_excluding_outliers,outlier_years_count,mean_sr_energy_phase2,mean_far_energy_phase2,mean_ir_p10_phase2,mean_ttl_phase2,vre_load_corr_phase2,surplus_load_trough_share_phase2
BE,PV,2025.0,q1_bascule_or_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",pv_penetration_pct_gen,pct_point,-0.0008361696516365,0.5674719303838587,0.0100826642361852,0.768948010578701,11,OLS,NOT_SIGNIFICANT,p_value_high,-0.0008361696516365,-0.0008361696516365,0,0.0029890995744364,0.7533906572268677,0.5053407470112833,149.17162925182075,,
BE,WIND,2025.0,q1_bascule_or_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",wind_penetration_pct_gen,pct_point,0.0001595049373538,0.5165767293329386,0.001109586573313,0.9225465892998052,11,OLS,NOT_SIGNIFICANT,p_value_high,0.0001595049373538,0.0001595049373538,0,0.0029890995744364,0.7533906572268677,0.5053407470112833,149.17162925182075,,
CZ,PV,2025.0,q1_bascule_or_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",pv_penetration_pct_gen,pct_point,-0.0017478638677329,0.7446502897283725,0.1476103420588042,0.2433756731666711,11,OLS,ROBUST,ok,-0.0017478638677329,-0.0017478638677329,0,0.0032694691747211,0.9376117257658112,0.6568550185247957,170.46345336393026,,
CZ,WIND,2025.0,q1_bascule_or_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",wind_penetration_pct_gen,pct_point,-0.0015951328066436,0.7349803361210584,0.1583316787728128,0.2255219561554195,11,OLS,ROBUST,ok,-0.0015951328066436,-0.0015951328066436,0,0.0032694691747211,0.9376117257658112,0.6568550185247957,170.46345336393026,,
DE,PV,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",pv_penetration_pct_gen,pct_point,-1.8255993886312965e-05,0.5979986696528332,0.0033874056170963,0.8650290509066437,11,OLS,NOT_SIGNIFICANT,p_value_high,-1.8255993886312965e-05,-1.8255993886312965e-05,0,0.0,,0.0506631477461815,204.82593368537877,,
DE,WIND,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",wind_penetration_pct_gen,pct_point,3.2870003227140256e-06,0.5939703267522723,0.0025090479006919,0.8837197971280606,11,OLS,NOT_SIGNIFICANT,p_value_high,3.2870003227140256e-06,3.2870003227140256e-06,0,0.0,,0.0506631477461815,204.82593368537877,,
ES,PV,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",pv_penetration_pct_gen,pct_point,2.6513437886646354e-05,0.5704176600180976,0.7193558467812933,0.0009696192311673,11,OLS,ROBUST,ok,2.6513437886646354e-05,2.6513437886646354e-05,0,0.0,,0.0940620781407101,161.51612949982427,,
ES,WIND,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",wind_penetration_pct_gen,pct_point,1.4802329093119797e-05,0.5955101164323804,0.0857630295169154,0.3821425661604897,11,OLS,NOT_SIGNIFICANT,p_value_high,1.4802329093119797e-05,1.4802329093119797e-05,0,0.0,,0.0940620781407101,161.51612949982427,,
FR,PV,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",pv_penetration_pct_gen,pct_point,-0.0016326245859287,0.7373684105723917,0.5424818108945995,0.0097338710670038,11,OLS,ROBUST,ok,-0.0016326245859287,-0.0016326245859287,0,0.0,,0.1019887444306739,177.40029110722188,,
FR,WIND,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",wind_penetration_pct_gen,pct_point,-0.0007002061242981,0.7524833530166033,0.623704459656593,0.0038335677982326,11,OLS,ROBUST,ok,-0.0007002061242981,-0.0007002061242981,0,0.0,,0.1019887444306739,177.40029110722188,,
