country,tech,phase2_start_year_for_slope,phase2_start_reason,phase2_end_year,years_used,years_used_no_outliers,x_axis_used,x_unit,slope,intercept,r2,p_value,n,slope_method,robust_flag,reason_code,slope_all_years,slope_excluding_outliers,outlier_years_count,mean_sr_energy_phase2,mean_far_energy_phase2,mean_ir_p10_phase2,mean_ttl_phase2,vre_load_corr_phase2,surplus_load_trough_share_phase2
BE,PV,2025.0,q1_bascule_or_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",pv_penetration_pct_gen,pct_point,-0.0008227630364731,0.5730091365204606,0.0096491535660571,0.7738557308303489,11,OLS,NOT_SIGNIFICANT,p_value_high,-0.0008227630364731,-0.0008227630364731,0,0.0029890995744364,0.7533906572268677,0.5053407470112833,154.95617470636623,,
BE,WIND,2025.0,q1_bascule_or_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",wind_penetration_pct_gen,pct_point,0.0001650990249379,0.5225398483236133,0.0011829611155891,0.9200335121290156,11,OLS,NOT_SIGNIFICANT,p_value_high,0.0001650990249379,0.0001650990249379,0,0.0029890995744364,0.7533906572268677,0.5053407470112833,154.95617470636623,,
CZ,PV,2025.0,q1_bascule_or_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",pv_penetration_pct_gen,pct_point,-0.0015798192029901,0.7433707671899089,0.1683875758363006,0.2100035342715773,11,OLS,ROBUST,ok,-0.0015798192029901,-0.0015798192029901,0,0.0032694691747211,0.9376117257658112,0.6568550185247957,184.5970059955092,,
CZ,WIND,2025.0,q1_bascule_or_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",wind_penetration_pct_gen,pct_point,-0.001425408205829,0.7321748878903256,0.1081428552201183,0.3234285134784865,11,OLS,NOT_SIGNIFICANT,p_value_high,-0.001425408205829,-0.001425408205829,0,0.0032694691747211,0.9376117257658112,0.6568550185247957,184.5970059955092,,
DE,PV,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",pv_penetration_pct_gen,pct_point,-1.953586724711702e-05,0.6064455012843336,0.0028962986046888,0.8751245867428181,11,OLS,NOT_SIGNIFICANT,p_value_high,-1.953586724711702e-05,-1.953586724711702e-05,0,0.0,,0.0506631477461815,218.9594863169577,,
DE,WIND,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",wind_penetration_pct_gen,pct_point,3.3328902804134565e-06,0.6026414576014788,0.0017161939048446,0.9037422027344924,11,OLS,NOT_SIGNIFICANT,p_value_high,3.3328902804134565e-06,3.3328902804134565e-06,0,0.0,,0.0506631477461815,218.9594863169577,,
ES,PV,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",pv_penetration_pct_gen,pct_point,2.82314116450131e-05,0.5755309441719915,0.7144239067720607,0.0010515003542641,11,OLS,ROBUST,ok,2.82314116450131e-05,2.82314116450131e-05,0,0.0,,0.0940620781407101,167.30067495436973,,
ES,WIND,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",wind_penetration_pct_gen,pct_point,1.4655678172515511e-05,0.6002772462511138,0.0449123601827975,0.5315898165049199,11,OLS,NOT_SIGNIFICANT,p_value_high,1.4655678172515511e-05,1.4655678172515511e-05,0,0.0,,0.0940620781407101,167.30067495436973,,
FR,PV,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",pv_penetration_pct_gen,pct_point,-0.0015813238134442,0.7371426289282053,0.5445957213889452,0.0095193935483015,11,OLS,ROBUST,ok,-0.0015813238134442,-0.0015813238134442,0,0.0,,0.1019887444306739,183.18483656176733,,
FR,WIND,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",wind_penetration_pct_gen,pct_point,-0.0006776712683632,0.7520801464160289,0.6244134462018625,0.0037995319117285,11,OLS,ROBUST,ok,-0.0006776712683632,-0.0006776712683632,0,0.0,,0.1019887444306739,183.18483656176733,,
IT_NORD,PV,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",pv_penetration_pct_gen,pct_point,-0.0003469999974712,0.7948934439607847,0.1244187417961743,0.2873402267467663,11,OLS,NOT_SIGNIFICANT,p_value_high,-0.0003469999974712,-0.0003469999974712,0,0.0,,0.0813407447000362,152.03716132827643,,
IT_NORD,WIND,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",wind_penetration_pct_gen,pct_point,-0.0004950650494842,0.7998069552583541,0.0886547370958636,0.3738595378445954,11,OLS,NOT_SIGNIFICANT,p_value_high,-0.0004950650494842,-0.0004950650494842,0,0.0,,0.0813407447000362,152.03716132827643,,
NL,PV,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",pv_penetration_pct_gen,pct_point,-3.507005359884325e-05,0.6213799008451762,0.0270710152128617,0.6287884403543827,11,OLS,NOT_SIGNIFICANT,p_value_high,-3.507005359884325e-05,-3.507005359884325e-05,0,0.0,,0.0037138793718154,157.6949995794166,,
NL,WIND,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",wind_penetration_pct_gen,pct_point,8.50117905577962e-08,0.6191282035845674,1.7446981844498627e-05,0.9902753638090674,11,OLS,NOT_SIGNIFICANT,p_value_high,8.50117905577962e-08,8.50117905577962e-08,0,0.0,,0.0037138793718154,157.6949995794166,,
