country,year,ir_p10,p10_must_run_mw,p10_load_mw,p50_must_run_mw,p50_load_mw,ir_case_class
BE,2018,0.2503632091191176,2052.8475,8199.477499999999,3325.1775,10062.5,mixed
BE,2019,0.5281338030873663,4194.154,7941.461,5039.95125,9722.5,mixed
BE,2020,0.4000857097802364,3028.0745,7568.564499999999,4290.4425,9174.6025,mixed
BE,2021,0.6343503096335895,5061.447499999999,7978.946999999999,5853.005,9651.23,mixed
BE,2022,0.5370723356597397,4092.44125,7619.907,5046.07375,9336.4325,mixed
BE,2023,0.3987854729972554,2898.95325,7269.4555,3854.68375,8974.9625,mixed
BE,2024,0.3943858333535832,2945.72675,7469.1495,3566.7775,9214.6225,mixed
CZ,2018,1.039550315178267,6181.661,5946.476,7333.44,7644.825,mixed
CZ,2019,0.919915368716706,5468.321,5944.374,7189.009999999999,7540.23,mixed
CZ,2020,0.8862924746997435,4936.564,5569.904,6578.83,7306.42,mixed
CZ,2021,0.889195928147045,5240.8550000000005,5893.926,6718.960000000001,7606.59,mixed
CZ,2022,1.0405540506932722,5874.348000000001,5645.404,6958.995,7367.22,mixed
CZ,2023,0.8909228000546017,4686.188,5259.926,6309.985000000001,6941.93,mixed
CZ,2024,0.8497260413655197,4449.9490000000005,5236.9220000000005,6179.16,6909.18,mixed
DE,2018,0.3794941270703111,18673.4605,49206.191,24085.081250000003,63728.1,mixed
DE,2019,0.2843253281938316,12582.043750000004,44252.279,18371.4075,56884.927500000005,mixed
DE,2020,0.2439759191136415,10407.21625,42656.7355,16086.86375,55683.177500000005,mixed
DE,2021,0.2701548827424477,12313.61525,45579.836,17753.003750000003,58128.3475,mixed
DE,2022,0.3104147117931071,13295.2035,42830.4555,18020.7975,55575.7675,mixed
DE,2023,0.2390462318859233,9778.606000000002,40906.7565,14321.170000000002,52824.7425,mixed
DE,2024,0.2263046487454366,9425.893,41651.345,14138.20625,53519.9775,mixed
ES,2018,0.2941978481508908,6753.9,22957.0,7745.0,29172.0,mixed
ES,2019,0.2913581991978373,6596.0,22638.8,7890.0,28751.0,mixed
ES,2020,0.3059516604886905,6471.0,21150.4,8122.0,26795.0,mixed
ES,2021,0.2859684981487956,6379.9,22309.8,7873.0,28039.0,mixed
ES,2022,0.3049924924924925,6500.0,21312.0,7812.0,27172.0,mixed
ES,2023,0.2950851393188854,6100.0,20672.0,7672.0,26108.0,mixed
ES,2024,0.2951989701260838,6237.200000000001,21128.8,7532.0,26556.0,mixed
FR,2018,1.0521863248472143,41354.5,39303.4,48615.5,51969.0,mixed
FR,2019,1.027953453073615,40635.0,39530.0,47396.5,51854.0,mixed
FR,2020,0.8761151770927934,32800.0,37438.0,42845.0,48896.0,mixed
FR,2021,1.050096731493738,41252.0,39284.0,45260.0,51123.0,must_run_floor_effect
FR,2022,0.7147623702216469,27055.9,37853.0,33297.0,48661.5,mixed
FR,2023,0.9605239758914184,35108.4,36551.3,40403.0,47060.0,mixed
FR,2024,1.063233556199511,39406.2,37062.6,46413.0,47471.0,mixed
IT_NORD,2018,0.1020454822582611,1339.0,13121.6,3245.5,18406.0,mixed
IT_NORD,2019,0.1066922956221559,1359.9,12746.0,3398.0,18161.0,mixed
IT_NORD,2020,0.1571861997226075,1813.3,11536.0,3865.0,16513.0,mixed
IT_NORD,2021,0.1352550925060736,1737.0,12842.4,3246.0,17894.0,mixed
IT_NORD,2022,0.0831310870867084,1055.0,12690.8,2102.5,17630.0,mixed
IT_NORD,2023,0.080019079574986,973.0,12159.6,3019.5,16795.0,mixed
IT_NORD,2024,0.1505694351399487,1843.0,12240.2,4173.0,17219.0,mixed
NL,2018,0.0,0.0,10375.35,0.0,13107.0,mixed
NL,2019,0.0,0.0,10613.366,0.0,12909.4375,mixed
NL,2020,0.0007199508865821,7.3025,10143.053000000002,15.35125,11985.3975,mixed
NL,2021,0.0008078249825603,8.145,10082.6295,15.6125,11840.71,mixed
NL,2022,0.0,0.0,9264.473,15.945,11208.1675,mixed
NL,2023,0.0,0.0,10296.588,20.34,12408.03,mixed
NL,2024,0.0006673674536929,7.1690000000000005,10742.208,15.76,12956.4025,mixed
