country,year,ir_p10,p10_must_run_mw,p10_load_mw,p50_must_run_mw,p50_load_mw,ir_case_class
BE,2025,0.5510754332774845,4256.8197411048495,7724.568151745935,5154.889642246361,9530.531254073709,mixed
BE,2026,0.5407749064591568,4256.8197411048495,7871.703531839739,5154.889642246361,9712.066106380897,mixed
BE,2027,0.530852382477705,4256.8197411048495,8018.838911933543,5154.889642246361,9893.600958688085,mixed
BE,2028,0.5225746558355591,4256.503824568152,8145.254992824538,5153.907119909758,10048.511609324654,mixed
BE,2029,0.5120610588574961,4256.8197411048495,8313.109672121152,5154.889642246361,10256.670663302462,mixed
BE,2030,0.5078732159623893,,,,,mixed
BE,2031,0.4945546179330476,4256.8197411048495,8607.38043230876,5154.889642246361,10619.740367916842,mixed
BE,2032,0.4874434288156365,4256.503824568152,8732.303223187093,5153.907119909758,10772.732147936184,mixed
BE,2033,0.4782056327586873,4256.8197411048495,8901.651192496369,5154.889642246361,10982.81007253122,mixed
BE,2034,0.4704298976394527,4256.8197411048495,9048.786572590174,5154.889642246361,11164.34492483841,mixed
BE,2035,0.4629029871075003,4256.8197411048495,9195.921952683975,5154.889642246361,11345.879777145596,mixed
CZ,2025,0.7165304964534209,3870.6991243035104,5402.001929383519,5026.561564469826,7132.596228332721,mixed
CZ,2026,0.7031373088025349,3870.6991243035104,5504.897942189177,5026.561564469826,7268.456178484917,mixed
CZ,2027,0.6902356176720609,3870.6991243035104,5607.793954994837,5026.561564469826,7404.316128637116,mixed
CZ,2028,0.6792752097276433,3871.158809018965,5698.954935468812,5028.145780671297,7518.462261525612,mixed
CZ,2029,0.665802335635179,3870.6991243035104,5813.585980606155,5026.561564469826,7676.036028941511,mixed
CZ,2030,0.6584364270094397,,,,,mixed
CZ,2031,0.643039716114427,3870.6991243035104,6019.378006217475,5026.561564469826,7947.755929245906,mixed
CZ,2032,0.6336093604294737,3871.158809018965,6109.6932128575445,5028.145780671297,8060.337091714489,mixed
CZ,2033,0.6217820725398563,3870.6991243035104,6225.170031828793,5026.561564469826,8219.475829550303,mixed
CZ,2034,0.6116717330384792,3870.6991243035104,6328.066044634453,5026.561564469826,8355.3357797025,mixed
CZ,2035,0.601884926350237,3870.6991243035104,6430.962057440112,5026.561564469826,8491.195729854697,mixed
DE,2025,0.0552705101068276,2355.646431232241,42620.312833719305,2586.265437959775,54781.97026983656,must_run_floor_effect
DE,2026,0.0542374171989223,2355.646431232241,43432.12772453045,2586.265437959775,55825.43560962736,must_run_floor_effect
DE,2027,0.0532422359307423,2355.646431232241,44243.9426153416,2586.265437959775,56868.90094941815,must_run_floor_effect
DE,2028,0.0524209039968495,2356.0858693832997,44945.5406096182,2586.504602787825,57752.53286183556,must_run_floor_effect
DE,2029,0.0513575562893354,2355.646431232241,45867.57239696389,2586.265437959775,58955.83162899973,must_run_floor_effect
DE,2030,0.050771079018632,,,,,mixed
DE,2031,0.0496017435476586,2355.646431232241,47491.20217858617,2586.265437959775,61042.76230858132,must_run_floor_effect
DE,2032,0.0488968118770316,2356.0858693832997,48184.85661822931,2586.504602787825,61914.87470264432,must_run_floor_effect
DE,2033,0.0479620175253927,2355.646431232241,49114.83196020848,2586.265437959775,63129.6929881629,must_run_floor_effect
DE,2034,0.0471821478069908,2355.646431232241,49926.646851019614,2586.265437959775,64173.1583279537,must_run_floor_effect
DE,2035,0.0464272339042977,2355.646431232241,50738.46174183076,2586.265437959775,65216.62366774449,must_run_floor_effect
ES,2025,0.102573147506531,2194.3088333300398,21392.62454815791,2648.9347173362,26877.445663145587,mixed
ES,2026,0.100655892412951,2194.3088333300398,21800.10311097997,2648.9347173362,27389.397009110267,mixed
ES,2027,0.0988089953044565,2194.3088333300398,22207.581673802026,2648.9347173362,27901.348355074944,mixed
ES,2028,0.0972961868150915,2194.154794645084,22551.292773837155,2649.646301748664,28341.20687562576,mixed
ES,2029,0.0953113317538563,2194.3088333300398,23022.53879944613,2648.9347173362,28925.251047004294,mixed
ES,2030,0.0946017932912733,,,,,mixed
ES,2031,0.0920528246853484,2194.3088333300398,23837.49592509024,2648.9347173362,29949.15373893365,mixed
ES,2032,0.0907552666930685,2194.154794645084,24176.611171951543,2649.646301748664,30383.816380175365,mixed
ES,2033,0.0890097561007087,2194.3088333300398,24652.45305073436,2648.9347173362,30973.056430863016,mixed
ES,2034,0.0875624429933801,2194.3088333300398,25059.93161355641,2648.9347173362,31485.00777682769,mixed
ES,2035,0.0861614439054861,2194.3088333300398,25467.410176378464,2648.9347173362,31996.959122792367,mixed
FR,2025,0.1112568014398503,4283.114138802256,38497.54876440403,5043.795018539236,49283.7394850432,mixed
FR,2026,0.1091772341401243,4283.114138802256,39230.83573728441,5043.795018539236,50222.47780213388,mixed
FR,2027,0.1071739812697766,4283.114138802256,39964.12271016479,5043.795018539236,51161.21611922454,mixed
FR,2028,0.1055852018007899,4281.872549682299,40553.71848188543,5043.230523328932,51942.66630276703,mixed
FR,2029,0.1033802104360625,4283.114138802256,41430.696655925545,5043.795018539236,53038.69275340588,mixed
FR,2030,0.1020545830493559,,,,,mixed
FR,2031,0.0998458428409635,4283.114138802256,42897.27060168631,5043.795018539236,54916.169387587215,mixed
FR,2032,0.0984870341574227,4281.872549682299,43476.51024639556,5043.230523328932,55686.28348461041,mixed
FR,2033,0.096545152533421,4283.114138802256,44363.844547447065,5043.795018539236,56793.64602176855,mixed
FR,2034,0.0949753120522011,4283.114138802256,45097.13152032745,5043.795018539236,57732.38433885922,mixed
FR,2035,0.0934557064853558,4283.114138802256,45830.41849320782,5043.795018539236,58671.12265594988,mixed
IT_NORD,2025,0.0887793087559861,1139.38740266509,12833.929646791306,2576.386564326759,18058.222124837856,mixed
IT_NORD,2026,0.0871198801692528,1139.38740266509,13078.38578808345,2576.386564326759,18402.188736836382,mixed
IT_NORD,2027,0.0855213481256465,1139.38740266509,13322.841929375589,2576.386564326759,18746.1553488349,mixed
IT_NORD,2028,0.0840588103893787,1137.0218624978666,13526.504327517052,2574.493886165815,19028.813045777828,mixed
IT_NORD,2029,0.0824940398721019,1139.38740266509,13811.754211959877,2576.386564326759,19434.08857283196,mixed
IT_NORD,2030,0.0813060573521702,,,,,mixed
IT_NORD,2031,0.0796737273119247,1139.38740266509,14300.66649454416,2576.386564326759,20122.02179682901,mixed
IT_NORD,2032,0.0784077910218919,1137.0218624978666,14501.388799238115,2574.493886165815,20400.260827439637,mixed
IT_NORD,2033,0.0770398819219322,1139.38740266509,14789.57877712844,2576.386564326759,20809.955020826063,mixed
IT_NORD,2034,0.0757871994343345,1139.38740266509,15034.034918420584,2576.386564326759,21153.92163282459,mixed
IT_NORD,2035,0.0745746028329654,1139.38740266509,15278.491059712724,2576.386564326759,21497.88824482312,mixed
NL,2025,0.00405198649314,45.82844465076283,11310.117822048527,101.0784974885692,13641.786180757754,mixed
NL,2026,0.0039762484739971,45.82844465076283,11525.548503937684,101.0784974885692,13901.629565711495,mixed
NL,2027,0.0039032898300411,45.82844465076283,11740.979185826844,101.0784974885692,14161.472950665237,mixed
NL,2028,0.0038499709395144,45.902025129239405,11922.693924289231,100.9089016650597,14379.870388812098,mixed
NL,2029,0.0037651203582558,45.82844465076283,12171.840549605158,101.0784974885692,14681.15972057272,mixed
