country,driver_name,corr_capture_pv,elasticity_capture_pv,expected_sign,observed_sign,sign_conflict
BE,sr_energy,-0.9931056275437092,-0.0492071446005588,-1,-1,False
BE,far_energy,0.9853319171586348,0.2193477015556685,1,1,False
BE,vre_penetration_share_gen,0.964444012589734,2.2280059256934885,-1,1,True
BE,nrl_p10_proxy,0.9585467470368808,0.249341418595122,1,1,False
BE,nrl_p50_proxy,0.9585082016811964,0.2540023733619753,1,1,False
BE,nrl_p90_proxy,0.958430613312052,0.5020243008264653,1,1,False
BE,exports_pos_share_proxy,-0.964968404132915,-0.505904746814758,1,-1,True
BE,ir_p10,-0.9635411776807328,-0.5051006836033827,-1,-1,False
CZ,sr_energy,0.7554893917775779,0.0078211890196542,-1,1,True
CZ,far_energy,-0.6368031763904242,-0.0541161873456426,1,-1,True
CZ,vre_penetration_share_gen,-0.9634214304033194,-0.2475731006248248,-1,-1,False
CZ,nrl_p10_proxy,-0.92928877774978,-0.0382221007780025,1,-1,True
CZ,nrl_p50_proxy,-0.9302121683818754,-0.0394302464403491,1,-1,True
CZ,nrl_p90_proxy,-0.93001473694291,-0.1106956157110938,1,-1,True
CZ,exports_pos_share_proxy,0.8707429599313455,0.1089652665843293,1,1,False
CZ,ir_p10,0.8703183886241165,0.108896011100009,-1,1,True
DE,sr_energy,,,-1,0,False
DE,far_energy,,,1,0,False
DE,vre_penetration_share_gen,0.970252084170167,0.5788525080856958,-1,1,True
DE,nrl_p10_proxy,0.9773254729586256,0.0460817294458437,1,1,False
DE,nrl_p50_proxy,0.9771090371893292,0.0464250575204553,1,1,False
DE,nrl_p90_proxy,0.977111827995655,0.0485177631704828,1,1,False
DE,exports_pos_share_proxy,-0.978866704221772,-0.0484884228869607,1,-1,True
DE,ir_p10,-0.9845908934766812,-0.0488199736885721,-1,-1,False
ES,sr_energy,,,-1,0,False
ES,far_energy,,,1,0,False
ES,vre_penetration_share_gen,-0.9368093796947164,-0.0121521469282616,-1,-1,False
ES,nrl_p10_proxy,-0.9310608621898656,-0.0028236182078305,1,-1,True
ES,nrl_p50_proxy,-0.9315286262876388,-0.0028366673398089,1,-1,True
ES,nrl_p90_proxy,-0.931573200293382,-0.0031175002220257,1,-1,True
ES,exports_pos_share_proxy,0.4223912710178877,0.0030876283341351,1,1,False
ES,ir_p10,0.4055987344462569,0.0029660287151359,-1,1,True
FR,sr_energy,,,-1,0,False
FR,far_energy,,,1,0,False
FR,vre_penetration_share_gen,-0.9997828259813196,-0.4435221225901544,-1,-1,False
FR,nrl_p10_proxy,-0.9989887804037838,-0.1080224206613996,1,-1,True
FR,nrl_p50_proxy,-0.9991100329338743,-0.1090313181703652,1,-1,True
FR,nrl_p90_proxy,-0.9991076055585812,-0.1202763710677726,1,-1,True
FR,exports_pos_share_proxy,0.644085451586029,0.1187208767802143,1,1,False
FR,ir_p10,0.6499225569248247,0.1198544979634217,-1,1,True
IT_NORD,sr_energy,,,-1,0,False
IT_NORD,far_energy,,,1,0,False
IT_NORD,vre_penetration_share_gen,-0.9998670675418406,-0.1828650108955822,-1,-1,False
IT_NORD,nrl_p10_proxy,-0.9997075410471292,-0.0986150039717508,1,-1,True
IT_NORD,nrl_p50_proxy,-0.999687445022858,-0.0933211520888638,1,-1,True
IT_NORD,nrl_p90_proxy,-0.9996797704893248,-0.1073039444976714,1,-1,True
IT_NORD,exports_pos_share_proxy,0.9701505633128572,0.1066148175432356,1,1,False
IT_NORD,ir_p10,0.9723487186874502,0.1069028546744205,-1,1,True
NL,sr_energy,,,-1,0,False
NL,far_energy,,,1,0,False
NL,vre_penetration_share_gen,-0.9737824064637018,-0.0567319185503481,-1,-1,False
NL,nrl_p10_proxy,-0.9840684425002468,-0.0113394132758322,1,-1,True
NL,nrl_p50_proxy,-0.9840969178652392,-0.0113047339398678,1,-1,True
NL,nrl_p90_proxy,-0.9841054985998936,-0.0113818333316796,1,-1,True
NL,exports_pos_share_proxy,0.9778509488078888,0.0112790485834247,1,1,False
NL,ir_p10,0.9812342034977766,0.0113225905544943,-1,1,True
