country,year,n_hours_expected,n_hours_with_price,n_hours_with_load,n_hours_with_vre,n_hours_with_must_run,missing_share_price,missing_share_load,missing_share_generation,missing_share_net_position,load_net_mode,must_run_mode,entsoe_code_used,data_version_hash,load_total_twh,load_net_twh,gen_solar_twh,gen_wind_on_twh,gen_wind_off_twh,gen_vre_twh,gen_primary_twh,gen_must_run_twh,exports_twh,vre_penetration_pct_gen,pv_penetration_pct_gen,wind_penetration_pct_gen,vre_penetration_proxy,baseload_price_eur_mwh,peakload_price_eur_mwh,offpeak_price_eur_mwh,capture_rate_pv_eur_mwh,capture_rate_wind_eur_mwh,capture_ratio_pv,capture_ratio_wind,capture_price_pv_eur_mwh,capture_price_wind_eur_mwh,capture_ratio_pv_vs_baseload,capture_ratio_wind_vs_baseload,capture_ratio_pv_vs_ttl,capture_ratio_wind_vs_ttl,h_negative,h_negative_obs,h_below_5,h_below_5_obs,days_spread_50_obs,days_spread_gt50,avg_daily_spread_obs,max_daily_spread_obs,surplus_twh,surplus_unabsorbed_twh,sr_energy_share_load,sr_energy_share_gen,sr_energy,sr_hours,far_observed,far_energy,ir_p10,ir_mean,ttl_price_based_eur_mwh,ttl_eur_mwh,tca_ccgt_median_eur_mwh,tca_method,h_regime_a,h_regime_b,h_regime_c,h_regime_d,regime_coherence,nrl_price_corr,completeness,quality_flag,scenario_id,mode,horizon_year,calib_mustrun_scale,calib_vre_scale_pv,calib_vre_scale_wind_on,calib_vre_scale_wind_off,calib_export_cap_eff_gw,calib_export_coincidence_used,calib_flex_realization_factor,calib_price_b_floor,calib_price_b_intercept,calib_price_b_slope_surplus_norm,vre_penetration_share_gen,pv_penetration_share_gen,wind_penetration_share_gen,sr_hours_share,p10_load_mw,p10_must_run_mw,p50_load_mw,p50_must_run_mw,ir_p10_excess,flag_h_negative_stage2,flag_h_negative_strong_stage2,flag_h_below_5_stage2,flag_p10_price_below_0,flag_capture_pv_low,flag_capture_wind_low,flag_sr_high,flag_far_low,flag_ir_high,flag_spread_high,low_price_flags_count,capture_flags_count,physical_flags_count,stage2_points_low_price,stage2_points_capture,stage2_points_physical,stage2_points_vol,stage2_market_score,score_breakdown,phase2_candidate_year,flag_capture_only_stage2,is_phase2_market,is_phase2_physical,signal_low_price,signal_value,signal_physical,flag_non_capture_stage2,active_flags,is_stage1_criteria,phase_market,stress_phys_state,quality_ok
BE,2025,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,entsoe_total_load_no_pumping_adjust,observed,SCEN:LOW_RIGIDITY,1c5c8f0336ebb8e8f2d3fbbc4ebabbc27f6a237fc1e2e6101f19a3d48d4c39fd,83.52865,83.52865,4.161571546875,8.231013711941307,3.5080103025,15.900595561316306,49.74923556131631,33.84864000000001,0.8106414,31.96148721063,8.365096468157448,23.59639074247256,0.1903609786739796,87.52469688810152,89.55764620093993,86.39335409353686,83.85558866643332,80.7310100582353,0.958079166770962,0.9223797731221874,83.85558866643332,80.7310100582353,0.958079166770962,0.9223797731221874,0.5742270480069108,0.5528305307444985,71,71,84,84,124,124,25.820725275315294,125.06869566469751,0.0449714274578329,0.0048667039762416,0.0005383952387334,0.0009039621805325,0.0009039621805325,0.0095890410958904,0.8917823104279968,0.8917823104279968,0.4208212399573517,0.4052338928020506,146.03211213663366,146.03211213663366,,none,16,68,7808,868,1.0,0.713823884537633,1.0,OK,LOW_RIGIDITY,SCEN,2025,2945.72675,2.66535,3.4558,0.5091,1.65,0.45,0.8890567553849889,-59.245,-0.4,-1.5201136068795886,0.3196148721063,0.0836509646815744,0.2359639074247255,0.0095890410958904,7724.568151745935,3250.6623477527933,9530.531254073709,3936.461181351767,-0.5791787600426482,False,False,False,False,True,False,False,True,False,False,0,1,1,0,1,2,0,3,low=0;cap=1;phys=2;vol=0,True,False,True,True,False,True,True,1,"flag_capture_pv_low,flag_far_low",False,phase2,pas_de_surplus_structurel,True
BE,2026,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,entsoe_total_load_no_pumping_adjust,observed,SCEN:LOW_RIGIDITY,9f7c628dec72691389ab0be052fb6a5e052fd6e6c81f158497bd1329c30861e8,85.11968,85.11968,4.161571546875,8.319187833017775,3.5080103025,15.988769682392778,49.83740968239277,33.84864000000001,0.8106414,32.08186337188689,8.35029664141083,23.731566730476057,0.1878386958502755,88.40768639507762,90.08998909299218,87.47147956318912,84.74892407019746,81.84192676394076,0.9586148843605088,0.9257331585197728,84.74892407019746,81.84192676394076,0.9586148843605088,0.9257331585197728,0.5757245876916889,0.5559764924335211,50,50,70,70,123,123,25.633291356587783,121.80135401510108,0.0356725280621806,0.0029410074073091,0.0004190867266204,0.0007157781331236,0.0007157781331236,0.0079908675799086,0.917555397190166,0.917555397190166,0.4129553831142651,0.3976593896969538,147.20393375935174,147.20393375935174,,none,10,60,7821,869,1.0,0.7119715863046162,1.0,OK,LOW_RIGIDITY,SCEN,2026,2945.72675,2.7117,3.49282,0.51836,1.65,0.45,0.8890567553849889,-59.245,-0.4,-1.5201136068795886,0.3208186337188689,0.0835029664141083,0.2373156673047605,0.0079908675799086,7871.703531839739,3250.6623477527933,9712.066106380897,3936.461181351767,-0.5870446168857348,False,False,False,False,True,False,False,True,False,False,0,1,1,0,1,2,0,3,low=0;cap=1;phys=2;vol=0,True,False,True,True,False,True,True,1,"flag_capture_pv_low,flag_far_low",False,phase2,pas_de_surplus_structurel,True
BE,2027,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,entsoe_total_load_no_pumping_adjust,observed,SCEN:LOW_RIGIDITY,870accc0a20c1d236eab1efb3dc5a33727b173f12e15a30fbeab7e33260a8db9,86.71071,86.71071,4.161571546875,8.407361954094245,3.5080103025,16.076943803469245,49.92558380346925,33.84864000000001,0.8106414,32.2018143378267,8.335549090936857,23.86626524688984,0.185408974317812,89.34171368865553,91.51686243317984,88.13123645556205,85.70347548841177,83.09773454106762,0.9592772731792166,0.9301112672928192,85.70347548841177,83.09773454106762,0.9592772731792166,0.9301112672928192,0.5776934590182797,0.5601291829769849,38,38,50,50,119,119,24.943023707771577,115.07171810695031,0.028400769040864,0.001595604689826,0.0003275347306101,0.0005688620317924,0.0005688620317924,0.0057077625570776,0.943818257613721,0.943818257613721,0.4053781829829746,0.3903628513709553,148.35458866723968,148.35458866723968,,none,6,44,7839,871,1.0,0.7078918620613246,1.0,OK,LOW_RIGIDITY,SCEN,2027,2945.72675,2.75805,3.52984,0.52762,1.65,0.45,0.8890567553849889,-59.245,-0.4,-1.5201136068795886,0.3220181433782669,0.0833554909093685,0.2386626524688984,0.0057077625570776,8018.838911933543,3250.6623477527933,9893.600958688085,3936.461181351767,-0.5946218170170254,False,False,False,False,True,False,False,True,False,False,0,1,1,0,1,2,0,3,low=0;cap=1;phys=2;vol=0,True,False,True,True,False,True,True,1,"flag_capture_pv_low,flag_far_low",False,phase2,pas_de_surplus_structurel,True
BE,2028,8784,8784,8784,8784,8784,0.0,0.0,0.0,0.0,entsoe_total_load_no_pumping_adjust,observed,SCEN:LOW_RIGIDITY,2d673f7d97bc9464c717ba36b11e4099f958cd02c809187c028d7fa0f7a4aa15,88.30174000000001,88.30174000000001,4.162940811875,8.542130979036411,3.531251535,16.23632332591141,50.177699325911405,33.94137599999999,0.813945,32.35764800704422,8.296396342997111,24.061251664047106,0.1838731980356379,90.1436282448212,93.49768087542668,88.29605688050464,86.63685900527308,84.05701388387452,0.9610979798813504,0.9324787067099624,86.63685900527308,84.05701388387452,0.9610979798813504,0.9324787067099624,0.5796940999705326,0.5624321515009847,32,32,39,39,119,119,24.962085227575013,110.62432270898708,0.0239454222693283,0.0006779797299713,0.0002711772414601,0.0004772124388126,0.0004772124388126,0.0044398907103825,0.971686457547261,0.971686457547261,0.3990570099107904,0.3843794697590329,149.45271826930284,149.45271826930284,,none,4,35,7870,875,1.0,0.7059258332035203,1.0,OK,LOW_RIGIDITY,SCEN,2028,2945.72675,2.8044,3.56686,0.53688,1.65,0.45,0.8890567553849889,-59.245,-0.4,-1.5201136068795886,0.3235764800704421,0.0829639634299711,0.240612516640471,0.0044398907103825,8145.254992824538,3250.421102397497,10048.511609324654,3935.7108915674503,-0.6009429900892096,False,False,False,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1,low=0;cap=1;phys=0;vol=0,False,True,False,False,False,True,False,0,flag_capture_pv_low,False,uncertain,pas_de_surplus_structurel,True
BE,2029,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,entsoe_total_load_no_pumping_adjust,observed,SCEN:LOW_RIGIDITY,92362669ab4f8ef2a72a2cbd709b3769e9986ba109888ae9bca3d7f8adf37a23,89.89277,89.89277,4.161571546875,8.58371019624719,3.5080103025,16.25329204562219,50.10193204562219,33.84864000000001,0.8106414,32.44044966334261,8.306209714798074,24.134239948544536,0.1808075559983543,90.99208157229307,99.06584944251546,86.49900393022902,87.61254315379303,85.01905247832956,0.9628589833301592,0.9343566056435586,87.61254315379303,85.01905247832956,0.9628589833301592,0.9343566056435586,0.5812799895866468,0.5640730443416018,27,27,32,32,119,119,25.169044222080903,108.6434241893053,0.0190113720209788,0.0,0.0002114894448238,0.0003794538702353,0.0003794538702353,0.0036529680365296,1.0,1.0,0.3910284449457242,0.3765446320098936,150.72348046265114,150.72348046265114,,none,0,32,7855,873,1.0,0.7045388147980582,1.0,OK,LOW_RIGIDITY,SCEN,2029,2945.72675,2.85075,3.60388,0.54614,1.65,0.45,0.8890567553849889,-59.245,-0.4,-1.5201136068795886,0.3244044966334261,0.0830620971479807,0.2413423994854453,0.0036529680365296,8313.109672121152,3250.6623477527933,10256.670663302462,3936.461181351767,-0.6089715550542758,False,False,False,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1,low=0;cap=1;phys=0;vol=0,False,True,False,False,False,True,False,0,flag_capture_pv_low,False,uncertain,pas_de_surplus_structurel,True
BE,2030,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,minus_psh_pump,observed,SCEN:LOW_RIGIDITY,c70791453f1442e063d402bc3e5abefa019541cffc341d3ef715c0775e2a3ed1,91.4838,91.06083987825,4.161571546875,8.67188431732366,3.5080103025,16.34146616669866,50.19010616669866,33.84864000000001,0.8106414,0.3255913847327402,0.0829161734197768,0.2426752113129632,0.1794565719858008,92.47166545643542,97.85640910898478,89.47503839179709,89.01168693151368,86.49800494398266,0.962583365316895,0.9354000981493404,89.01168693151368,86.49800494398266,0.962583365316895,0.9354000981493404,0.5839017065948012,0.5674123752164928,28,28,31,31,119,119,25.44823091408061,109.8355036590732,0.0202681038832043,3.876123255139646e-05,0.0002225776075676,0.0004038266788256,0.0004038266788256,0.0035388127853881,0.9980875748035062,0.9980875748035062,0.3878304558258245,0.3717145596862081,152.4429299078644,152.4429299078644,,none,1,30,7856,873,1.0,0.7047961606260058,1.0,OK,LOW_RIGIDITY,SCEN,2030,2945.72675,2.8971,3.6409,0.5554,1.65,0.45,0.8382926695408538,-48.79599999999999,0.035,-10.317355543065132,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1,low=0;cap=1;phys=0;vol=0,False,True,False,False,False,True,False,0,flag_capture_pv_low,False,uncertain,pas_de_surplus_structurel,True
BE,2031,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,entsoe_total_load_no_pumping_adjust,observed,SCEN:LOW_RIGIDITY,16054407d549bf6d7d693af10d0900a786459883602c1d3b5362f7fc0271a980,93.07483,93.07483,4.161571546875,8.76005843840013,3.5080103025,16.42964028777513,50.27828028777513,33.84864000000001,0.8106414,32.67741098887565,8.277076151084788,24.400334837790854,0.1765207660091899,92.541774576868,95.20015889494243,91.06237520156428,89.1971397388785,86.68058669622302,0.9638581078298716,0.936664410127812,89.1971397388785,86.68058669622302,0.9638581078298716,0.936664410127812,0.5826301069326917,0.566192140730676,17,17,24,24,115,115,24.699780826335843,105.42636055978883,0.012652808468642,0.0,0.0001359423215561,0.0002516555537743,0.0002516555537743,0.0027397260273972,1.0,1.0,0.3776598900579635,0.3636712524750247,153.09394189817073,153.09394189817073,,none,0,24,7862,874,1.0,0.7033573831799581,1.0,OK,LOW_RIGIDITY,SCEN,2031,2945.72675,2.94345,3.67792,0.56466,1.65,0.45,0.8890567553849889,-59.245,-0.4,-1.5201136068795886,0.3267741098887565,0.0827707615108478,0.2440033483779085,0.0027397260273972,8607.38043230876,3250.6623477527933,10619.740367916842,3936.461181351767,-0.6223401099420365,False,False,False,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1,low=0;cap=1;phys=0;vol=0,False,True,False,False,False,True,False,0,flag_capture_pv_low,False,uncertain,pas_de_surplus_structurel,True
BE,2032,8784,8784,8784,8784,8784,0.0,0.0,0.0,0.0,entsoe_total_load_no_pumping_adjust,observed,SCEN:LOW_RIGIDITY,e67ac6ea9fd2137051249ca5489b0780bec4888e724d783d8b4d2ffad1ebc602,94.66586,94.66586,4.162940811875,8.896761874382937,3.531251535,16.590954221257938,50.53233022125793,33.94137599999999,0.813945,32.832355342834475,8.23817305405745,24.594182288777024,0.1752580520713374,93.2760549254194,95.3586742081242,92.1151054529329,89.97198155529229,87.46771298076479,0.9645774751862206,0.9377295496759722,89.97198155529229,87.46771298076479,0.9645774751862206,0.9377295496759722,0.5835746280731117,0.5673314868561212,15,15,19,19,116,116,24.960407439166616,104.22334593714514,0.0108428183071627,0.0,0.0001145377890948,0.000214571903961,0.000214571903961,0.0021630236794171,1.0,1.0,0.3722295274592133,0.3585387171256881,154.17390891781605,154.17390891781605,,none,0,19,7888,877,1.0,0.7023754532337579,1.0,OK,LOW_RIGIDITY,SCEN,2032,2945.72675,2.9898,3.71494,0.57392,1.65,0.45,0.8890567553849889,-59.245,-0.4,-1.5201136068795886,0.3283235534283447,0.0823817305405745,0.2459418228877702,0.0021630236794171,8732.303223187093,3250.421102397497,10772.732147936184,3935.7108915674503,-0.6277704725407867,False,False,False,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1,low=0;cap=1;phys=0;vol=0,False,True,False,False,False,True,False,0,flag_capture_pv_low,False,uncertain,pas_de_surplus_structurel,True
BE,2033,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,entsoe_total_load_no_pumping_adjust,observed,SCEN:LOW_RIGIDITY,9422407d26ac1ca5d9e5b5d703a60186bde38b795eafd95a3aa684529e5533c7,96.25689,96.25689,4.161571546875,8.936406680553068,3.5080103025,16.60598852992807,50.45462852992807,33.84864000000001,0.8106414,32.912715867242845,8.248146241739722,24.66456962550312,0.172517401402934,94.07882202993626,97.71360664094124,92.06809011746545,90.77514911616842,88.29683832607671,0.9648839893773692,0.938541070358856,90.77514911616842,88.29683832607671,0.9648839893773692,0.938541070358856,0.5839843970014135,0.5680406629902289,15,15,17,17,114,114,24.78697308542599,102.22127648820596,0.0085487034290342,0.0,8.881134045608864e-05,0.0001694334826776,0.0001694334826776,0.0019406392694063,1.0,1.0,0.3651752104702702,0.3516490092293654,155.44105216213288,155.44105216213288,,none,0,17,7868,875,1.0,0.7020521069198485,1.0,OK,LOW_RIGIDITY,SCEN,2033,2945.72675,3.03615,3.75196,0.58318,1.65,0.45,0.8890567553849889,-59.245,-0.4,-1.5201136068795886,0.3291271586724284,0.0824814624173972,0.2466456962550312,0.0019406392694063,8901.651192496369,3250.6623477527933,10982.81007253122,3936.461181351767,-0.6348247895297299,False,False,False,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1,low=0;cap=1;phys=0;vol=0,False,True,False,False,False,True,False,0,flag_capture_pv_low,False,uncertain,pas_de_surplus_structurel,True
BE,2034,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,entsoe_total_load_no_pumping_adjust,observed,SCEN:LOW_RIGIDITY,40e6925bc3f86330e16d966d717b21a8270b6aa5c300b0aebf31457080659668,97.84792,97.84792,4.161571546875,9.024580801629542,3.5080103025,16.694162651004543,50.54280265100454,33.84864000000001,0.8106414,33.02975255700971,8.233756991297927,24.795995565711777,0.1706133625630932,94.83005299741738,101.4514058209777,91.16717696736276,91.53079337423534,89.06482285887994,0.9652087126507048,0.93920460912645,91.53079337423534,89.06482285887994,0.9652087126507048,0.93920460912645,0.5844705384129538,0.568724065977963,11,11,15,15,112,112,24.587625818653372,100.61931562738386,0.0069084673794611,0.0,7.060413118093049e-05,0.0001366854827415,0.0001366854827415,0.0017123287671232,1.0,1.0,0.3592373763792183,0.3459311143251691,156.60463164280978,156.60463164280978,,none,0,15,7870,875,1.0,0.7017864258690084,1.0,OK,LOW_RIGIDITY,SCEN,2034,2945.72675,3.0825,3.78898,0.59244,1.65,0.45,0.8890567553849889,-59.245,-0.4,-1.5201136068795886,0.330297525570097,0.0823375699129792,0.2479599556571178,0.0017123287671232,9048.786572590174,3250.6623477527933,11164.34492483841,3936.461181351767,-0.6407626236207817,False,False,False,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1,low=0;cap=1;phys=0;vol=0,False,True,False,False,False,True,False,0,flag_capture_pv_low,False,uncertain,pas_de_surplus_structurel,True
