country,year,ir_p10,p10_must_run_mw,p10_load_mw,p50_must_run_mw,p50_load_mw,ir_case_class
DE,2018,0.3794941270703111,18673.4605,49206.191,24085.081250000003,63728.1,mixed
DE,2019,0.2843253281938316,12582.043750000004,44252.279,18371.4075,56884.927500000005,mixed
DE,2020,0.2439759191136415,10407.21625,42656.7355,16086.86375,55683.177500000005,mixed
DE,2021,0.2701548827424477,12313.61525,45579.836,17753.003750000003,58128.3475,mixed
DE,2022,0.3104147117931071,13295.2035,42830.4555,18020.7975,55575.7675,mixed
DE,2023,0.2390462318859233,9778.606000000002,40906.7565,14321.170000000002,52824.7425,mixed
DE,2024,0.2263046487454366,9425.893,41651.345,14138.20625,53519.9775,mixed
ES,2018,0.2941978481508908,6753.9,22957.0,7745.0,29172.0,mixed
ES,2019,0.2913581991978373,6596.0,22638.8,7890.0,28751.0,mixed
ES,2020,0.3059516604886905,6471.0,21150.4,8122.0,26795.0,mixed
ES,2021,0.2859684981487956,6379.9,22309.8,7873.0,28039.0,mixed
ES,2022,0.3049924924924925,6500.0,21312.0,7812.0,27172.0,mixed
ES,2023,0.2950851393188854,6100.0,20672.0,7672.0,26108.0,mixed
ES,2024,0.2951989701260838,6237.200000000001,21128.8,7532.0,26556.0,mixed
