country,year,residual_load_p10_mw,residual_load_p50_mw,residual_load_p90_mw,price_low_residual_median_eur_mwh,price_negative_median_eur_mwh,residual_negative_p10_mw,residual_negative_p50_mw,residual_negative_p90_mw
DE,2025,26054.48076178609,40936.54708328767,56321.17103423666,108.95628346083416,,,,
DE,2026,26830.62767856925,41927.80579826506,57553.35899556933,109.98957313077156,,,,
DE,2027,27609.8316166599,42908.57474679542,58773.72844432328,111.0345638776878,,,,
DE,2028,28211.538714035883,43684.23801852863,59783.103041896495,112.04684711128225,,,,
DE,2029,29146.53984446048,44877.93939502888,61214.67305163311,113.11305011371212,,,,
DE,2030,29937.994841055704,45871.36861555536,62423.55900351754,114.14811936341866,,,,
DE,2031,30643.41527390072,46782.94216115495,63632.037099205954,115.15058138798165,,,,
DE,2032,31192.51900531421,47481.35953171296,64578.12839353674,116.11890390171703,,,,
DE,2033,32075.178826976207,48599.41272371452,65966.05132887761,117.16628573856228,,,,
DE,2034,32779.230340739545,49530.06975978606,67170.8328337037,118.18365086574246,,,,
DE,2035,33445.56204462264,50448.95413375411,68375.30925549274,119.19103837621736,,,,
ES,2025,12587.126796613156,18574.78023629887,26349.86564776985,83.27530818627099,,,,
ES,2026,12935.573329537609,19016.726295459102,26933.508866416218,83.88604434718441,,,,
ES,2027,13288.429443387337,19442.603098538933,27524.674265896167,84.49969794878572,,,,
ES,2028,13567.25812382604,19821.32661927277,28011.749887493617,85.07735616142968,,,,
ES,2029,13979.649250848786,20315.84765735522,28667.812497963445,85.72090902570696,,,,
ES,2030,14315.884578908684,20751.65146470602,29257.260225208352,86.33208501456649,,,,
ES,2031,14655.616034179817,21184.9313229327,29834.946201283765,86.9409529904378,,,,
ES,2032,14926.201486137435,21561.47300189044,30325.950373366075,87.5190702474435,,,,
ES,2033,15336.395260592935,22073.906201905516,30989.36109864657,88.16570861364067,,,,
ES,2034,15679.42359729046,22508.308651096413,31566.4442158838,88.77573508222864,,,,
ES,2035,16023.291571900254,22943.40460923397,32131.777002966985,89.38484144853763,,,,
