country,year,residual_load_p10_mw,residual_load_p50_mw,residual_load_p90_mw,price_low_residual_median_eur_mwh,price_negative_median_eur_mwh,residual_negative_p10_mw,residual_negative_p50_mw,residual_negative_p90_mw
DE,2025,21773.810702604045,36135.12393267505,50545.257344483776,107.87038731270424,,,,
DE,2026,22451.342048617214,37009.16999606691,51663.55143965822,108.89215653141484,,,,
DE,2027,23119.002008518222,37887.44458370717,52787.00314086957,109.90018051603344,,,,
DE,2028,23652.06938086608,38588.76977156001,53678.73821656904,110.88015543247214,,,,
DE,2029,24487.58545599088,39647.32953818262,54930.76191979567,111.91317194797432,,,,
DE,2030,25150.40142818485,40566.75317935635,56011.35350490218,112.92280369370434,,,,
DE,2031,25769.97974436725,41372.75627786942,57073.048239206175,113.91391825817774,,,,
DE,2032,26208.37451205956,41998.33857172321,57913.45572408985,114.87562142242848,,,,
DE,2033,26987.343361922947,43003.85490346748,59185.96228001019,115.89826280193176,,,,
DE,2034,27602.078772932346,43814.62901907874,60229.70233307302,116.8966787639302,,,,
DE,2035,28185.100434194443,44622.36545190672,61301.4528501632,117.88456456507984,,,,
ES,2025,10671.564609674402,16480.30112049867,23756.766142967837,82.35277545316478,,,,
ES,2026,10959.663863547185,16867.983876852282,24281.205411472973,82.93878823060163,,,,
ES,2027,11260.32071419068,17250.87031611496,24782.700693604947,83.52461526121587,,,,
ES,2028,11482.695114495047,17587.44024980542,25246.09927143261,84.08650425907601,,,,
ES,2029,11840.697971001378,18022.397213303004,25819.872041254195,84.71297039902197,,,,
ES,2030,12135.289217212883,18408.521152935115,26339.226629435543,85.30735239350517,,,,
ES,2031,12429.41414982105,18802.201572097663,26849.19934497906,85.89474716500976,,,,
ES,2032,12659.2165481378,19133.54812943563,27308.911555791583,86.44999658449731,,,,
ES,2033,13028.7472195716,19584.112199508345,27883.69998245729,87.07447098669162,,,,
ES,2034,13319.474448916746,19972.416485813843,28395.196826273943,87.66442943853045,,,,
ES,2035,13612.9792540138,20360.93229431496,28923.090918933336,88.25992919851785,,,,
