country,year,residual_load_p10_mw,residual_load_p50_mw,residual_load_p90_mw,price_low_residual_median_eur_mwh,price_negative_median_eur_mwh,residual_negative_p10_mw,residual_negative_p50_mw,residual_negative_p90_mw
DE,2025,21243.371499685592,35606.05527035438,50014.81814156532,107.73458829502228,,,,
DE,2026,21924.54781053087,36478.73079314845,51133.11223673977,108.75364457837604,,,,
DE,2027,22591.56398812863,37357.00538078872,52256.56393795112,109.76311640838064,,,,
DE,2028,23125.40086921888,38061.50808494372,53157.75919899103,110.74598168070638,,,,
DE,2029,23957.146253072424,39116.890335264165,54400.322716877214,111.7779548894436,,,,
DE,2030,24621.19643819069,40036.57317544615,55480.91430198373,112.78429174066554,,,,
DE,2031,25239.5405414488,40847.12933827849,56542.60903628772,113.77657106763192,,,,
DE,2032,25684.07600974003,41474.78680017372,57389.75883762134,114.74016624846224,,,,
DE,2033,26456.90415900449,42473.41570054903,58655.52307709174,115.76307540495864,,,,
DE,2034,27072.0637800619,43285.00672897284,59699.26313015457,116.76419389486252,,,,
DE,2035,27654.66123127599,44092.18113218142,60771.01364724475,117.74605261204104,,,,
ES,2025,10211.794914653032,16025.019188214428,23311.96273246512,82.1273538036621,,,,
ES,2026,10504.415311575833,16409.751611249536,23822.3339640468,82.71419741791445,,,,
ES,2027,10800.551019169308,16793.438852582538,24323.472386689933,83.3021567758968,,,,
ES,2028,11031.030854521534,17131.389026936922,24786.450302599347,83.86581508118476,,,,
ES,2029,11383.366007353034,17568.412137343854,25361.87570657576,84.4890997657175,,,,
ES,2030,11678.764383843944,17951.82810713515,25879.490451957296,85.08209825628286,,,,
ES,2031,11972.982999721436,18347.90761933842,26389.529455246047,85.67093413419218,,,,
ES,2032,12201.17302617389,18676.46190483608,26849.90083961402,86.22505788227949,,,,
ES,2033,12568.97752455023,19125.270685493684,27424.063361153723,86.85197373101121,,,,
ES,2034,12863.280385686834,19512.899962854503,27935.526936540933,87.44073273529911,,,,
ES,2035,13157.13408366935,19909.93106386304,28464.21947150716,88.03972562513238,,,,
