requirement_id,source_spec,module_area,status,evidence_type,evidence_ref,severity
DQ_HIST_COMPLETENESS_MIN_098,SPEC0-0.3.3 & SPEC1-tests quality,GLOBAL,OK,runtime,completeness_min=0.997374,HIGH
DQ_HIST_COVERAGE_2018_2024,SPEC1-Donnees historiques,GLOBAL,OK,runtime,annual_metrics rows=49/49,CRITICAL
DQ_HIST_QUALITYFLAG_NO_FAIL,SPEC1-data quality,GLOBAL,OK,runtime,quality_flag_FAIL=0,HIGH
TEST_Q1-H-01,SPEC2-Q1/Slides 2-4,Q1,OK,test,Q1:Q1-H-01:{'PASS': 1},HIGH
TEST_Q1-H-02,SPEC2-Q1/Slides 3-4,Q1,OK,test,Q1:Q1-H-02:{'PASS': 1},CRITICAL
TEST_Q1-H-03,SPEC2-Q1,Q1,OK,test,Q1:Q1-H-03:{'PASS': 1},MEDIUM
TEST_Q1-H-04,Slides 4-6,Q1,OK,test,Q1:Q1-H-04:{'PASS': 1},MEDIUM
TEST_Q1-S-01,SPEC2-Q1/Slides 5,Q1,OK,test,Q1:Q1-S-01:{'PASS': 4},HIGH
TEST_Q1-S-02,SPEC2-Q1/Slides 5,Q1,OK,test,Q1:Q1-S-02:{'PASS': 4},MEDIUM
TEST_Q1-S-03,SPEC2-Q1,Q1,OK,test,Q1:Q1-S-03:{'PASS': 4},MEDIUM
TEST_Q2-H-01,SPEC2-Q2/Slides 10,Q2,OK,test,Q2:Q2-H-01:{'PASS': 1},HIGH
TEST_Q2-H-02,SPEC2-Q2/Slides 10-12,Q2,OK,test,Q2:Q2-H-02:{'PASS': 1},MEDIUM
TEST_Q2-H-03,Slides 10-13,Q2,OK,test,Q2:Q2-H-03:{'PASS': 1},MEDIUM
TEST_Q2-S-01,SPEC2-Q2/Slides 11,Q2,OK,test,Q2:Q2-S-01:{'PASS': 3},HIGH
TEST_Q2-S-02,SPEC2-Q2,Q2,OK,test,Q2:Q2-S-02:{'PASS': 3},MEDIUM
Q3_SCEN_INFORMATIVENESS,SPEC2-Q3,Q3,OK,runtime,share_informative=92.86%,MEDIUM
TEST_Q3-H-01,SPEC2-Q3/Slides 16,Q3,OK,test,Q3:Q3-H-01:{'PASS': 1},HIGH
TEST_Q3-H-02,SPEC2-Q3,Q3,OK,test,Q3:Q3-H-02:{'PASS': 1},MEDIUM
TEST_Q3-S-01,SPEC2-Q3/Slides 17,Q3,OK,test,Q3:Q3-S-01:{'PASS': 4},HIGH
TEST_Q3-S-02,Slides 17-19,Q3,OK,test,Q3:Q3-S-02:{'PASS': 4},MEDIUM
TEST_Q4-H-01,SPEC2-Q4/Slides 22,Q4,OK,test,Q4:Q4-H-01:{'PASS': 1},CRITICAL
TEST_Q4-H-02,SPEC2-Q4,Q4,OK,test,Q4:Q4-H-02:{'PASS': 1},CRITICAL
TEST_Q4-S-01,SPEC2-Q4/Slides 23,Q4,OK,test,Q4:Q4-S-01:{'PASS': 4},HIGH
TEST_Q4-S-02,Slides 23-25,Q4,OK,test,Q4:Q4-S-02:{'PASS': 4},MEDIUM
TEST_Q5-H-01,SPEC2-Q5/Slides 28,Q5,OK,test,Q5:Q5-H-01:{'PASS': 1},HIGH
TEST_Q5-H-02,SPEC2-Q5,Q5,OK,test,Q5:Q5-H-02:{'PASS': 1},CRITICAL
TEST_Q5-S-01,SPEC2-Q5/Slides 29,Q5,OK,test,Q5:Q5-S-01:{'PASS': 4},HIGH
TEST_Q5-S-02,SPEC2-Q5/Slides 31,Q5,OK,test,Q5:Q5-S-02:{'PASS': 4},MEDIUM
RPT_QUALITY_GATES_PASS,Plan audit integral,REPORTING,OK,runtime,report_qc.verdict=PASS,HIGH
RPT_SLIDES_EXTRACTION_NON_EMPTY,Plan audit integral,REPORTING,OK,code,slides_requirements_count=613,CRITICAL
RPT_SLIDES_TRACEABILITY_COMPLETE,Plan audit integral,REPORTING,OK,runtime,slides_trace_rows=613; covered_no=0,CRITICAL
SCEN_BASE_COVERAGE,SPEC2-prospectif Q1..Q5,SCENARIO,OK,runtime,rows=14; h_negative>0=3; h_regime_a>0=3,HIGH
SCEN_DEMAND_UP_COVERAGE,SPEC2-prospectif Q1..Q5,SCENARIO,OK,runtime,rows=14; h_negative>0=2; h_regime_a>0=1,HIGH
SCEN_FLEX_UP_COVERAGE,SPEC2-prospectif Q1..Q5,SCENARIO,OK,runtime,rows=14; h_negative>0=2; h_regime_a>0=1,HIGH
SCEN_HIGH_CO2_COVERAGE,SPEC2-prospectif Q1..Q5,SCENARIO,OK,runtime,rows=14; h_negative>0=3; h_regime_a>0=3,HIGH
SCEN_HIGH_GAS_COVERAGE,SPEC2-prospectif Q1..Q5,SCENARIO,OK,runtime,rows=14; h_negative>0=3; h_regime_a>0=3,HIGH
SCEN_LOW_RIGIDITY_COVERAGE,SPEC2-prospectif Q1..Q5,SCENARIO,OK,runtime,rows=14; h_negative>0=2; h_regime_a>0=1,HIGH
