slide,question_area,expectation_excerpt,historical_covered,prospective_covered,status,evidence_ref,notes
1,CONTEXTE,"— Contexte et 5 questions à traiter Nous voulons expliquer la dynamique des capture prices des renouvelables intermittents en restant sur une approche simple, auditable et utile pour la décision",True,True,OK,app/pages/00_Accueil.py,
2,Q1,— Question 1 Définition Question 1,True,True,OK,src/modules/q1_transition.py:66,
3,Q1,— Question 1 Hypothèses Hypothèse centrale,True,True,OK,src/modules/q1_transition.py:66,
4,Q1,— Question 1 Tests empiriques Objectif des tests,True,True,OK,src/modules/q1_transition.py:66,
5,Q1,— Question 1 Scénarios prospectifs Pourquoi des scénarios sont nécessaires pour Q1,True,True,OK,src/modules/q1_transition.py:66,
6,Q1,— Question 1 Limites et points de vigilance Définitions nécessaires sur cette slide,True,True,OK,src/modules/q1_transition.py:66,
7,Q1,— Question 1 Livrable attendu Livrable principal,True,True,OK,src/modules/q1_transition.py:66,
8,Q2,— Question 2 Définition Question 2,True,True,OK,src/modules/q2_slope.py:58,
9,Q2,— Question 2 Hypothèses Définitions nécessaires sur cette slide,True,True,OK,src/modules/q2_slope.py:58,
10,Q2,— Question 2 Tests empiriques Objectif des tests,True,True,OK,src/modules/q2_slope.py:58,
11,Q2,— Question 2 Scénarios prospectifs et leviers Pourquoi faire des scénarios pour la pente,True,True,OK,src/modules/q2_slope.py:58,
12,Q2,— Question 2 Limites et règles d’interprétation Définitions nécessaires sur cette slide,True,True,OK,src/modules/q2_slope.py:58,
13,Q2,— Question 2 Livrable attendu Livrable principal,True,True,OK,src/modules/q2_slope.py:58,
14,Q3,"— Question 3 (Phase 2 → Phase 3) — Définition précise du problème La question vise à définir quand et pourquoi un marché sort de la Phase 2 (dégradation active de la valeur captée par le PV et montée des prix très bas et négatifs) pour entrer en Phase 3 , où le système “s’auto-adapte” et où certains",True,True,OK,src/modules/q3_exit.py:44,
15,Q3,"— Question 3 — Hypothèses structurantes (simples, auditables, et falsifiables) Hypothèse H3",True,True,OK,src/modules/q3_exit.py:44,
16,Q3,"— Question 3 — Tests empiriques (preuve historique multi-pays, sans usine à gaz) Test T3",True,True,OK,src/modules/q3_exit.py:44,
17,Q3,"— Question 3 — Scénarios prospectifs (pragmatiques, cohérents, et limités en nombre) Objectif des scénarios",True,True,OK,src/modules/q3_exit.py:44,
18,Q3,"— Question 3 — Limites, points d’attention, et règles de prudence Limite L3",True,True,OK,src/modules/q3_exit.py:44,
19,Q3,"— Question 3 — Livrable attendu (clair, auditable, directement utilisable par un CEO) Livrable principal",True,True,OK,src/modules/q3_exit.py:44,
20,Q4,"— Question 4 (Batteries) — Définition précise du problème La question vise à quantifier combien de batteries il faut pour “neutraliser” la dégradation de valeur liée au surplus, et comment ce besoin dépend du coût des batteries, du CO2, et du rôle résiduel du thermique",True,True,OK,src/modules/q4_bess.py:304,
21,Q4,— Question 4 — Hypothèses structurantes (ce qui doit être vrai pour que la logique tienne) Hypothèse H4,True,True,OK,src/modules/q4_bess.py:304,
22,Q4,— Question 4 — Tests empiriques et calculs “pédestres” (adéquation puis plausibilité économique) Test T4,True,True,OK,src/modules/q4_bess.py:304,
23,Q4,"— Question 4 — Scénarios (batteries, PV, CO2, gaz) sans créer de modèle complet Principe",True,True,OK,src/modules/q4_bess.py:304,
24,Q4,— Question 4 — Limites et garde-fous de l’exercice Limite L4,True,True,OK,src/modules/q4_bess.py:304,
25,Q4,"— Question 4 — Livrable attendu (simple, actionnable, et chiffré) Livrable principal",True,True,OK,src/modules/q4_bess.py:304,
26,Q5,— Question 5 (CO2 et gaz) — Définition précise du problème La question vise à comprendre comment le prix du CO2 et le prix du gaz changent la logique globale,True,True,OK,src/modules/q5_thermal_anchor.py:66,
27,Q5,"— Question 5 — Hypothèses structurantes (ce qui est raisonnable de supposer, et ce qui ne l’est pas) Hypothèse H5",True,True,OK,src/modules/q5_thermal_anchor.py:66,
28,Q5,"— Question 5 — Tests empiriques (liens gaz, CO2, TTL et capture) Test T5",True,True,OK,src/modules/q5_thermal_anchor.py:66,
29,Q5,"— Question 5 — Scénarios (cohérents, peu nombreux, et directement interprétables) Principe",True,True,OK,src/modules/q5_thermal_anchor.py:66,
30,Q5,— Question 5 — Limites et points ouverts à expliciter au client Limite L5,True,True,OK,src/modules/q5_thermal_anchor.py:66,
31,Q5,— Question 5 — Livrable attendu (réponse directe aux questions “combien” et “à partir de quel CO2”) Livrable principal,True,True,OK,src/modules/q5_thermal_anchor.py:66,
32,ARCHI,— Architecture macro de l’outil et plan de construction (Phase 1 vs Phase 2) Choix d’architecture,True,True,OK,streamlit_app.py:10,
33,PERIMETRE,"— Périmètre pays recommandé (robuste mais pragmatique, adapté à TTE Europe) Principe de sélection",True,True,OK,config/countries.yaml:1,Perimetre slides aligne sur decision projet: 7 pays verrouilles.
